Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Mark Webber,6,Sebastian Vettel,2
Toro Rosso,2,6,Daniel Ricciardo,9,Jean-Éric Vergne,8
Force India,3,4,Paul di Resta,10,Nico Hülkenberg,4
Mercedes,4,3,Nico Rosberg,11,Michael Schumacher,7
Marussia,5,2,Charles Pic,16,Timo Glock,15
Caterham,6,1,Heikki Kovalainen,17,Vitaly Petrov,14
McLaren,7,0,,,Jenson Button,1
Lotus,8,0,,,Kimi Räikkönen,3
Ferrari,9,0,,,Felipe Massa,5
Williams,10,0,,,Bruno Senna,12
Sauber,11,0,,,Kamui Kobayashi,13
HRT,12,0,,,Pedro de la Rosa,18
