Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Felipe Massa,4,Fernando Alonso,3
McLaren,2,6,Jenson Button,5,Lewis Hamilton,1
Lotus,3,4,Romain Grosjean,7,Kimi Räikkönen,6
Williams,4,3,Bruno Senna,10,Pastor Maldonado,9
Sauber,5,2,Kamui Kobayashi,14,Sergio Pérez,11
Force India,6,1,Paul di Resta,15,Nico Hülkenberg,8
Mercedes,7,0,Michael Schumacher,16,Nico Rosberg,13
Caterham,8,0,Heikki Kovalainen,18,Vitaly Petrov,17
Marussia,9,0,Charles Pic,20,Timo Glock,19
HRT,10,0,Narain Karthikeyan,22,Pedro de la Rosa,21
Red Bull,11,0,,,Sebastian Vettel,2
Toro Rosso,12,0,,,Daniel Ricciardo,12
