Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Force India,1,9,Nico Hülkenberg,9,Paul di Resta,7
Red Bull,2,6,Sebastian Vettel,11,Mark Webber,4
Toro Rosso,3,4,Daniel Ricciardo,12,Jean-Éric Vergne,8
Mercedes,4,3,Nico Rosberg,13,Michael Schumacher,10
McLaren,5,2,Jenson Button,14,Lewis Hamilton,3
Ferrari,6,1,Felipe Massa,15,Fernando Alonso,1
Caterham,7,0,Heikki Kovalainen,18,Vitaly Petrov,16
Williams,8,0,Pastor Maldonado,19,Bruno Senna,6
Marussia,9,0,Charles Pic,20,Timo Glock,17
HRT,10,0,Narain Karthikeyan,22,Pedro de la Rosa,21
Sauber,11,0,,,Sergio Pérez,2
Lotus,12,0,,,Kimi Räikkönen,5
