Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Lotus,1,9,Romain Grosjean,7,Kimi Räikkönen,6
Ferrari,2,6,Felipe Massa,8,Fernando Alonso,3
Red Bull,3,4,Mark Webber,11,Sebastian Vettel,1
Sauber,4,3,Kamui Kobayashi,13,Sergio Pérez,10
Force India,5,2,Nico Hülkenberg,14,Paul di Resta,4
Marussia,6,1,Charles Pic,16,Timo Glock,12
Caterham,7,0,Vitaly Petrov,19,Heikki Kovalainen,15
McLaren,8,0,,,Jenson Button,2
Mercedes,9,0,,,Nico Rosberg,5
Toro Rosso,10,0,,,Daniel Ricciardo,9
HRT,11,0,,,Pedro de la Rosa,17
Williams,12,0,,,Bruno Senna,18
