Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Lewis Hamilton,5,Jenson Button,4
Red Bull,2,6,Mark Webber,9,Sebastian Vettel,1
Force India,3,4,Paul di Resta,12,Nico Hülkenberg,7
Toro Rosso,4,3,Jean-Éric Vergne,13,Daniel Ricciardo,10
Williams,5,2,Bruno Senna,14,Pastor Maldonado,8
Caterham,6,1,Vitaly Petrov,17,Heikki Kovalainen,15
Lotus,7,0,Romain Grosjean,19,Kimi Räikkönen,6
Ferrari,8,0,,,Felipe Massa,2
Sauber,9,0,,,Kamui Kobayashi,3
Mercedes,10,0,,,Michael Schumacher,11
Marussia,11,0,,,Timo Glock,16
HRT,12,0,,,Pedro de la Rosa,18
