Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,David Coulthard,4,Mika Häkkinen,1
Williams,2,6,Jenson Button,5,Ralf Schumacher,3
Jaguar,3,4,Eddie Irvine,10,Johnny Herbert,8
Sauber,4,3,Pedro Diniz,11,Mika Salo,9
BAR,5,2,Ricardo Zonta,12,Jacques Villeneuve,7
Arrows,6,1,Pedro de la Rosa,16,Jos Verstappen,15
Minardi,7,0,Gastón Mazzacane,17,Marc Gené,14
Ferrari,8,0,,,Michael Schumacher,2
Jordan,9,0,,,Heinz-Harald Frentzen,6
Benetton,10,0,,,Alexander Wurz,13
