Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Rubens Barrichello,2,Michael Schumacher,1
McLaren,2,6,David Coulthard,7,Mika Häkkinen,4
Benetton,3,4,Alexander Wurz,9,Giancarlo Fisichella,3
Williams,4,3,Ralf Schumacher,14,Jenson Button,11
BAR,5,2,Jacques Villeneuve,15,Ricardo Zonta,8
Minardi,6,1,Marc Gené,16,Gastón Mazzacane,12
Arrows,7,0,,,Jos Verstappen,5
Jordan,8,0,,,Jarno Trulli,6
Sauber,9,0,,,Pedro Diniz,10
Jaguar,10,0,,,Eddie Irvine,13
