Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Mika Häkkinen,2,David Coulthard,1
Williams,2,6,Jenson Button,5,Ralf Schumacher,4
Benetton,3,4,Alexander Wurz,9,Giancarlo Fisichella,7
Sauber,4,3,Pedro Diniz,11,Mika Salo,8
Jaguar,5,2,Eddie Irvine,13,Johnny Herbert,12
Minardi,6,1,Gastón Mazzacane,15,Marc Gené,14
Jordan,7,0,Heinz-Harald Frentzen,17,Jarno Trulli,6
Ferrari,8,0,,,Michael Schumacher,3
Prost,9,0,,,Jean Alesi,10
BAR,10,0,,,Jacques Villeneuve,16
