Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,David Coulthard,3,Mika Häkkinen,1
Ferrari,2,6,Rubens Barrichello,4,Michael Schumacher,2
Jordan,3,4,Jarno Trulli,7,Heinz-Harald Frentzen,6
Williams,4,3,Jenson Button,9,Ralf Schumacher,5
BAR,5,2,Ricardo Zonta,14,Jacques Villeneuve,12
Arrows,6,1,Pedro de la Rosa,16,Jos Verstappen,13
Jaguar,7,0,,,Eddie Irvine,8
Sauber,8,0,,,Mika Salo,10
Benetton,9,0,,,Alexander Wurz,11
Minardi,10,0,,,Marc Gené,15
