Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,David Coulthard,2,Mika Häkkinen,1
Ferrari,2,6,Michael Schumacher,5,Rubens Barrichello,3
Benetton,3,4,Alexander Wurz,10,Giancarlo Fisichella,9
Jordan,4,3,Jarno Trulli,12,Heinz-Harald Frentzen,6
Jaguar,5,2,Johnny Herbert,13,Eddie Irvine,11
Minardi,6,1,Gastón Mazzacane,15,Marc Gené,14
Williams,7,0,Jenson Button,17,Ralf Schumacher,4
Sauber,8,0,,,Mika Salo,7
BAR,9,0,,,Ricardo Zonta,8
Prost,10,0,,,Nick Heidfeld,16
