Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Valtteri Bottas,3,Lewis Hamilton,2
Ferrari,2,6,Sebastian Vettel,4,Charles Leclerc,1
Toro Rosso,3,4,Pierre Gasly,9,Daniil Kvyat,7
Racing Point,4,3,Lance Stroll,10,Sergio Pérez,6
Haas,5,2,Romain Grosjean,13,Kevin Magnussen,12
Renault,6,1,Daniel Ricciardo,14,Nico Hülkenberg,8
Williams,7,0,Robert Kubica,17,George Russell,15
Alfa Romeo,8,0,Antonio Giovinazzi,18,Kimi Räikkönen,16
Red Bull,9,0,,,Alexander Albon,5
McLaren,10,0,,,Lando Norris,11
