Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Lewis Hamilton,3,Valtteri Bottas,2
Renault,2,6,Nico Hülkenberg,5,Daniel Ricciardo,4
Red Bull,3,4,Max Verstappen,8,Alexander Albon,6
Racing Point,4,3,Lance Stroll,12,Sergio Pérez,7
Ferrari,5,2,Sebastian Vettel,13,Charles Leclerc,1
Alfa Romeo,6,1,Kimi Räikkönen,15,Antonio Giovinazzi,9
Williams,7,0,Robert Kubica,17,George Russell,14
McLaren,8,0,,,Lando Norris,10
Toro Rosso,9,0,,,Pierre Gasly,11
Haas,10,0,,,Romain Grosjean,16
