Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Charles Leclerc,3,Sebastian Vettel,2
Mercedes,2,6,Valtteri Bottas,4,Lewis Hamilton,1
Renault,3,4,Nico Hülkenberg,7,Daniel Ricciardo,6
Red Bull,4,3,Pierre Gasly,8,Max Verstappen,5
Racing Point,5,2,Sergio Pérez,12,Lance Stroll,9
Alfa Romeo,6,1,Kimi Räikkönen,15,Antonio Giovinazzi,13
Haas,7,0,Kevin Magnussen,17,Romain Grosjean,14
Williams,8,0,Robert Kubica,18,George Russell,16
Toro Rosso,9,0,,,Daniil Kvyat,10
McLaren,10,0,,,Carlos Sainz Jr.,11
