Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Valtteri Bottas,3,Lewis Hamilton,1
Red Bull,2,6,Pierre Gasly,5,Max Verstappen,4
Toro Rosso,3,4,Alexander Albon,8,Daniil Kvyat,7
McLaren,4,3,Lando Norris,11,Carlos Sainz Jr.,6
Renault,5,2,Nico Hülkenberg,13,Daniel Ricciardo,9
Haas,6,1,Kevin Magnussen,14,Romain Grosjean,10
Racing Point,7,0,Lance Stroll,16,Sergio Pérez,12
Williams,8,0,Robert Kubica,18,George Russell,15
Alfa Romeo,9,0,Antonio Giovinazzi,19,Kimi Räikkönen,17
Ferrari,10,0,,,Sebastian Vettel,2
