Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Alfa Romeo,1,9,Antonio Giovinazzi,5,Kimi Räikkönen,4
McLaren,2,6,Lando Norris,8,Carlos Sainz Jr.,3
Toro Rosso,3,4,Daniil Kvyat,10,Pierre Gasly,2
Haas,4,3,Romain Grosjean,13,Kevin Magnussen,11
Red Bull,5,2,Alexander Albon,14,Max Verstappen,1
Renault,6,1,Nico Hülkenberg,15,Daniel Ricciardo,6
Williams,7,0,Robert Kubica,16,George Russell,12
Ferrari,8,0,Charles Leclerc,18,Sebastian Vettel,17
Racing Point,9,0,Lance Stroll,19,Sergio Pérez,9
Mercedes,10,0,,,Lewis Hamilton,7
