Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Sebastian Vettel,4,Charles Leclerc,2
Mercedes,2,6,Lewis Hamilton,5,Valtteri Bottas,3
Red Bull,3,4,Pierre Gasly,7,Max Verstappen,1
McLaren,4,3,Carlos Sainz Jr.,8,Lando Norris,6
Alfa Romeo,5,2,Antonio Giovinazzi,10,Kimi Räikkönen,9
Renault,6,1,Nico Hülkenberg,13,Daniel Ricciardo,12
Racing Point,7,0,Lance Stroll,14,Sergio Pérez,11
Toro Rosso,8,0,Daniil Kvyat,17,Alexander Albon,15
Haas,9,0,Kevin Magnussen,19,Romain Grosjean,16
Williams,10,0,Robert Kubica,20,George Russell,18
