Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Valtteri Bottas,3,Lewis Hamilton,1
Ferrari,2,6,Charles Leclerc,4,Sebastian Vettel,2
Red Bull,3,4,Max Verstappen,6,Alexander Albon,5
Renault,4,3,Nico Hülkenberg,10,Daniel Ricciardo,8
Toro Rosso,5,2,Daniil Kvyat,11,Pierre Gasly,9
Racing Point,6,1,Lance Stroll,12,Sergio Pérez,7
Haas,7,0,Romain Grosjean,17,Kevin Magnussen,15
Williams,8,0,Robert Kubica,18,George Russell,16
McLaren,9,0,,,Carlos Sainz Jr.,13
Alfa Romeo,10,0,,,Antonio Giovinazzi,14
