Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Charles Leclerc,2,Sebastian Vettel,1
Mercedes,2,6,Valtteri Bottas,5,Lewis Hamilton,4
Red Bull,3,4,Alexander Albon,6,Max Verstappen,3
McLaren,4,3,Carlos Sainz Jr.,12,Lando Norris,7
Renault,5,2,Daniel Ricciardo,14,Nico Hülkenberg,9
Toro Rosso,6,1,Daniil Kvyat,15,Pierre Gasly,8
Haas,7,0,Kevin Magnussen,17,Romain Grosjean,11
Alfa Romeo,8,0,,,Antonio Giovinazzi,10
Racing Point,9,0,,,Lance Stroll,13
Williams,10,0,,,Robert Kubica,16
