Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Williams,1,9,Heinz-Harald Frentzen,3,Jacques Villeneuve,1
Benetton,2,6,Gerhard Berger,4,Jean Alesi,2
Arrows,3,4,Damon Hill,8,Pedro Diniz,5
Sauber,4,3,Gianni Morbidelli,9,Johnny Herbert,7
Prost,5,2,,,Olivier Panis,6
Tyrrell,6,1,,,Mika Salo,10
