Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,David Coulthard,2,Mika Häkkinen,1
Williams,2,6,Heinz-Harald Frentzen,6,Jacques Villeneuve,3
Prost,3,4,Shinji Nakano,10,Olivier Panis,7
Benetton,4,3,Jean Alesi,13,Gerhard Berger,4
Sauber,5,2,Norberto Fontana,14,Johnny Herbert,8
Tyrrell,6,1,Jos Verstappen,16,Mika Salo,12
Minardi,7,0,Ukyo Katayama,17,Tarso Marques,15
Ferrari,8,0,,,Eddie Irvine,5
Stewart,9,0,,,Jan Magnussen,9
Jordan,10,0,,,Giancarlo Fisichella,11
