Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Mika Häkkinen,7,David Coulthard,6
Williams,2,6,Heinz-Harald Frentzen,8,Jacques Villeneuve,1
Benetton,3,4,Gerhard Berger,10,Jean Alesi,3
Ferrari,4,3,Eddie Irvine,12,Michael Schumacher,4
Sauber,5,2,Gianni Morbidelli,14,Johnny Herbert,5
Prost,6,1,,,Olivier Panis,2
Jordan,7,0,,,Giancarlo Fisichella,9
Tyrrell,8,0,,,Jos Verstappen,11
Stewart,9,0,,,Jan Magnussen,13
Minardi,10,0,,,Jarno Trulli,15
