Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Benetton,1,9,Jean Alesi,6,Gerhard Berger,2
Williams,2,6,Heinz-Harald Frentzen,9,Jacques Villeneuve,1
McLaren,3,4,David Coulthard,10,Mika Häkkinen,4
Sauber,4,3,Nicola Larini,11,Johnny Herbert,7
Prost,5,2,Shinji Nakano,14,Olivier Panis,3
Tyrrell,6,1,Jos Verstappen,15,Mika Salo,13
Ferrari,7,0,Eddie Irvine,16,Michael Schumacher,5
Minardi,8,0,Ukyo Katayama,18,Jarno Trulli,12
Jordan,9,0,,,Giancarlo Fisichella,8
Arrows,10,0,,,Damon Hill,17
