Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Williams,1,9,Heinz-Harald Frentzen,3,Jacques Villeneuve,1
Jordan,2,6,Ralf Schumacher,5,Giancarlo Fisichella,4
Sauber,3,4,Gianni Morbidelli,9,Johnny Herbert,8
Arrows,4,3,Pedro Diniz,13,Damon Hill,7
McLaren,5,2,,,David Coulthard,2
Ferrari,6,1,,,Michael Schumacher,6
Benetton,7,0,,,Gerhard Berger,10
Minardi,8,0,,,Ukyo Katayama,11
Tyrrell,9,0,,,Jos Verstappen,12
Stewart,10,0,,,Rubens Barrichello,14
