Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Renault,1,9,Giancarlo Fisichella,4,Fernando Alonso,1
Red Bull,2,6,David Coulthard,9,Christian Klien,5
Sauber,3,4,Jacques Villeneuve,10,Felipe Massa,6
Williams,4,3,Antônio Pizzonia,13,Mark Webber,7
Toyota,5,2,Jarno Trulli,15,Ralf Schumacher,3
Minardi,6,1,Christijan Albers,16,Robert Doornbos,14
McLaren,7,0,,,Kimi Räikkönen,2
BAR,8,0,,,Jenson Button,8
Jordan,9,0,,,Tiago Monteiro,11
Ferrari,10,0,,,Rubens Barrichello,12
