Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Williams,1,9,Ralf Schumacher,5,Juan Pablo Montoya,1
Ferrari,2,6,Michael Schumacher,7,Rubens Barrichello,3
Sauber,3,4,Giancarlo Fisichella,9,Felipe Massa,8
Renault,4,3,Jacques Villeneuve,10,Fernando Alonso,4
McLaren,5,2,David Coulthard,11,Kimi Räikkönen,2
Toyota,6,1,Ricardo Zonta,13,Jarno Trulli,12
Minardi,7,0,Gianmaria Bruni,17,Zsolt Baumgartner,16
BAR,8,0,,,Takuma Sato,6
Jaguar,9,0,,,Christian Klien,14
Jordan,10,0,,,Timo Glock,15
