Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Valtteri Bottas,4,Lewis Hamilton,1
Ferrari,2,6,Sebastian Vettel,5,Charles Leclerc,3
Red Bull,3,4,Alexander Albon,6,Max Verstappen,2
McLaren,4,3,Carlos Sainz Jr.,10,Lando Norris,8
Renault,5,2,Nico Hülkenberg,12,Daniel Ricciardo,11
Haas,6,1,Romain Grosjean,15,Kevin Magnussen,14
Alfa Romeo,7,0,Antonio Giovinazzi,16,Kimi Räikkönen,13
Toro Rosso,8,0,Pierre Gasly,18,Daniil Kvyat,9
Williams,9,0,Robert Kubica,19,George Russell,17
Racing Point,10,0,,,Sergio Pérez,7
