Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Jenson Button,3,Lewis Hamilton,2
Renault,2,6,Vitaly Petrov,6,Robert Kubica,5
Red Bull,3,4,Mark Webber,8,Sebastian Vettel,1
Ferrari,4,3,Felipe Massa,10,Fernando Alonso,7
Sauber,5,2,Kamui Kobayashi,14,Nick Heidfeld,11
Toro Rosso,6,1,Sébastien Buemi,15,Jaime Alguersuari,9
Williams,7,0,Nico Hülkenberg,16,Rubens Barrichello,12
HRT,8,0,Christian Klien,20,Bruno Senna,19
Lotus Racing,9,0,Jarno Trulli,21,Heikki Kovalainen,17
Mercedes,10,0,,,Nico Rosberg,4
Force India,11,0,,,Adrian Sutil,13
Virgin,12,0,,,Lucas di Grassi,18
