Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Felipe Massa,3,Fernando Alonso,2
Red Bull,2,6,Sebastian Vettel,6,Mark Webber,4
Toro Rosso,3,4,Daniel Ricciardo,13,Jean-Éric Vergne,8
Caterham,4,3,Heikki Kovalainen,14,Vitaly Petrov,11
Mercedes,5,2,Nico Rosberg,15,Michael Schumacher,7
Marussia,6,1,Timo Glock,16,Charles Pic,12
HRT,7,0,Narain Karthikeyan,18,Pedro de la Rosa,17
Force India,8,0,Paul di Resta,19,Nico Hülkenberg,5
McLaren,9,0,,,Jenson Button,1
Sauber,10,0,,,Kamui Kobayashi,9
Lotus,11,0,,,Kimi Räikkönen,10
