Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Sebastian Vettel,2,Mark Webber,1
Ferrari,2,6,Felipe Massa,5,Fernando Alonso,4
Force India,3,4,Paul di Resta,8,Adrian Sutil,6
Toro Rosso,4,3,Sébastien Buemi,12,Jaime Alguersuari,11
Sauber,5,2,Sergio Pérez,13,Kamui Kobayashi,9
Mercedes,6,1,Michael Schumacher,15,Nico Rosberg,7
Renault,7,0,Bruno Senna,17,Vitaly Petrov,10
Lotus Racing,8,0,Jarno Trulli,18,Heikki Kovalainen,16
McLaren,9,0,,,Jenson Button,3
Williams,10,0,,,Rubens Barrichello,14
Virgin,11,0,,,Jérôme d'Ambrosio,19
HRT,12,0,,,Daniel Ricciardo,20
