Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Williams,1,9,Valtteri Bottas,3,Felipe Massa,2
Force India,2,6,Sergio Pérez,7,Nico Hülkenberg,6
Red Bull,3,4,Sebastian Vettel,8,Daniel Ricciardo,4
Ferrari,4,3,Kimi Räikkönen,10,Fernando Alonso,9
McLaren,5,2,Kevin Magnussen,11,Jenson Button,5
Mercedes,6,1,Nico Rosberg,14,Lewis Hamilton,1
Sauber,7,0,Adrian Sutil,16,Esteban Gutiérrez,15
Toro Rosso,8,0,,,Jean-Éric Vergne,12
Lotus,9,0,,,Romain Grosjean,13
Caterham,10,0,,,Will Stevens,17
