Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Renault,1,9,Giancarlo Fisichella,3,Fernando Alonso,1
Ferrari,2,6,Felipe Massa,4,Michael Schumacher,2
Honda,3,4,Rubens Barrichello,7,Jenson Button,6
Williams,4,3,Nico Rosberg,11,Mark Webber,9
BMW Sauber,5,2,Jacques Villeneuve,12,Nick Heidfeld,8
Red Bull,6,1,David Coulthard,14,Christian Klien,13
McLaren,7,0,,,Kimi Räikkönen,5
Toyota,8,0,,,Jarno Trulli,10
Toro Rosso,9,0,,,Vitantonio Liuzzi,15
Midland,10,0,,,Tiago Monteiro,16
Super Aguri,11,0,,,Takuma Sato,17
