Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Renault,1,9,Giancarlo Fisichella,4,Fernando Alonso,1
Ferrari,2,6,Felipe Massa,5,Michael Schumacher,2
McLaren,3,4,Juan Pablo Montoya,6,Kimi Räikkönen,3
BMW Sauber,4,3,Jacques Villeneuve,8,Nick Heidfeld,7
Red Bull,5,2,Christian Klien,14,David Coulthard,12
Midland,6,1,Tiago Monteiro,16,Christijan Albers,15
Super Aguri,7,0,Franck Montagny,18,Takuma Sato,17
Williams,8,0,,,Nico Rosberg,9
Honda,9,0,,,Rubens Barrichello,10
Toyota,10,0,,,Jarno Trulli,11
Toro Rosso,11,0,,,Vitantonio Liuzzi,13
