Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Juan Pablo Montoya,5,Kimi Räikkönen,3
Williams,2,6,Nico Rosberg,7,Mark Webber,6
Ferrari,3,4,Felipe Massa,9,Michael Schumacher,2
Red Bull,4,3,David Coulthard,10,Christian Klien,8
Toro Rosso,5,2,Scott Speed,13,Vitantonio Liuzzi,11
Honda,6,1,Rubens Barrichello,15,Jenson Button,4
Toyota,7,0,Jarno Trulli,16,Ralf Schumacher,14
Renault,8,0,,,Fernando Alonso,1
BMW Sauber,9,0,,,Nick Heidfeld,12
Midland,10,0,,,Tiago Monteiro,17
Super Aguri,11,0,,,Takuma Sato,18
