Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Renault,1,9,Giancarlo Fisichella,6,Fernando Alonso,1
Ferrari,2,6,Felipe Massa,9,Michael Schumacher,5
Honda,3,4,Jenson Button,11,Rubens Barrichello,4
Toro Rosso,4,3,Scott Speed,13,Vitantonio Liuzzi,10
BMW Sauber,5,2,Jacques Villeneuve,14,Nick Heidfeld,7
Midland,6,1,Tiago Monteiro,15,Christijan Albers,12
Toyota,7,0,Jarno Trulli,17,Ralf Schumacher,8
McLaren,8,0,,,Juan Pablo Montoya,2
Red Bull,9,0,,,David Coulthard,3
Super Aguri,10,0,,,Franck Montagny,16
