Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Renault,1,9,Giancarlo Fisichella,3,Fernando Alonso,1
Toyota,2,6,Ralf Schumacher,7,Jarno Trulli,6
BMW Sauber,3,4,Robert Kubica,9,Nick Heidfeld,8
McLaren,4,3,Pedro de la Rosa,11,Kimi Räikkönen,5
Honda,5,2,Rubens Barrichello,12,Jenson Button,4
Super Aguri,6,1,Sakon Yamamoto,17,Takuma Sato,15
Toro Rosso,7,0,Scott Speed,18,Vitantonio Liuzzi,14
Ferrari,8,0,,,Felipe Massa,2
Williams,9,0,,,Nico Rosberg,10
Red Bull,10,0,,,Robert Doornbos,13
Midland,11,0,,,Tiago Monteiro,16
