Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Honda,1,9,Rubens Barrichello,6,Jenson Button,5
BMW Sauber,2,6,Nick Heidfeld,8,Robert Kubica,3
Ferrari,3,4,Felipe Massa,9,Michael Schumacher,1
Red Bull,4,3,David Coulthard,12,Christian Klien,11
Toro Rosso,5,2,Vitantonio Liuzzi,14,Scott Speed,13
Toyota,6,1,Ralf Schumacher,15,Jarno Trulli,7
McLaren,7,0,,,Kimi Räikkönen,2
Renault,8,0,,,Giancarlo Fisichella,4
Williams,9,0,,,Mark Webber,10
Super Aguri,10,0,,,Takuma Sato,16
Midland,11,0,,,Christijan Albers,17
