Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Renault,1,9,Giancarlo Fisichella,4,Fernando Alonso,1
Ferrari,2,6,Felipe Massa,5,Michael Schumacher,2
Red Bull,3,4,Christian Klien,11,David Coulthard,8
Toro Rosso,4,3,Vitantonio Liuzzi,13,Scott Speed,10
McLaren,5,2,,,Kimi Räikkönen,3
Toyota,6,1,,,Jarno Trulli,6
BMW Sauber,7,0,,,Nick Heidfeld,7
Honda,8,0,,,Jenson Button,9
Williams,9,0,,,Mark Webber,12
Midland,10,0,,,Tiago Monteiro,14
Super Aguri,11,0,,,Takuma Sato,15
