Pilote,Rang,Points,ABUR,AUSR,AZER,BAHR,BELR,BRAR,CANR,CHIR,GRER,HUNR,ITAR,JAPR,MALR,MEXR,MONR,RUSR,SINR,SPAR,UNIR
Lewis Hamilton,1,375,18,40,25,18,25,0,25,25,25,12,25,25,25,15,0,12,10,25,25
Sebastian Vettel,2,338,15,36,12,15,18,18,18,18,15,25,4,15,0,25,18,25,25,18,18
Valtteri Bottas,3,321,25,40,18,25,15,25,15,15,12,15,8,18,10,12,15,15,8,15,15
Kimi Räikkönen,4,265,10,24,15,10,12,15,12,12,18,18,6,8,18,10,25,18,12,12,10
Max Verstappen,5,211,8,18,10,8,10,12,10,0,10,10,18,10,15,18,12,6,18,10,8
Daniel Ricciardo,6,180,12,11,1,12,8,10,8,10,0,8,15,12,12,6,10,10,15,8,12
Sergio Pérez,7,62,4,4,8,0,4,8,4,4,6,0,0,4,2,1,6,2,0,4,1
Nico Hülkenberg,8,61,6,0,0,6,6,4,1,6,8,6,0,0,4,4,0,4,6,0,0
Esteban Ocon,9,58,2,2,6,0,2,0,2,0,4,0,10,6,8,8,0,1,0,1,6
Felipe Massa,10,42,1,6,2,4,0,1,6,8,0,,2,2,0,0,0,8,0,2,0
Fernando Alonso,11,24,0,0,0,0,0,6,0,0,0,4,0,1,1,0,,0,4,6,2
Carlos Sainz Jr.,12,23,0,5,0,0,0,2,0,0,0,1,0,0,0,2,8,0,1,0,4
Romain Grosjean,13,21,0,14,0,2,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0
Lance Stroll,14,17,0,0,4,0,0,0,0,1,0,0,12,0,0,0,0,0,0,0,0
Stoffel Vandoorne,15,14,0,0,0,0,0,0,0,0,2,2,1,0,6,0,1,0,2,0,0
Daniil Kvyat,16,4,,2,0,0,0,,0,2,0,0,0,,,,0,0,0,0,0
Jolyon Palmer,17,2,,0,0,1,1,,0,0,0,0,0,0,0,,0,0,0,0,
Jenson Button,18,2,,,,,,,,,,,,,,,2,,,,
Marcus Ericsson,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Giovinazzi,20,0,,0,,,,,,0,,,,,,,,,,,
Kevin Magnussen,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pascal Wehrlein,22,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Paul di Resta,23,0,,,,,,,,,,0,,,,,,,,,
Pierre Gasly,24,0,0,,,,,0,,,,,,0,0,0,,,,,
Brendon Hartley,25,0,0,,,,,0,,,,,,,,0,,,,,0
