Équipe,Rang,Points,AUS,CHI,BAH,RUS,SPA,MON,CAN,AZE,GRE,HUN,BEL,ITA,SIN,MAL,JAP,UNI,MEX,BRA,ABU
Mercedes,1,135,9,4,9,6,0,4,9,9,9,6,6,9,9,6,6,6,4,6,9
Ferrari,2,110,6,6,6,9,0,9,4,2,4,9,9,6,,0,1,9,9,9,6
Force India,3,72,4,3,4,4,9,2,6,0,3,4,0,3,6,3,4,4,6,0,4
Red Bull,4,53,0,9,2,0,0,6,0,1,6,0,0,2,3,9,9,0,0,4,0
Williams,5,33,3,0,1,3,1,0,0,0,1,0,4,4,4,4,0,3,3,1,0
Toro Rosso,6,24,0,0,0,2,6,1,,0,0,2,3,1,2,0,0,2,0,0,1
Haas,7,24,0,2,0,0,3,3,2,3,2,0,1,0,0,1,3,1,1,0,2
Renault,8,17,2,1,3,0,2,0,3,,0,0,2,0,1,0,0,0,,3,0
Sauber,9,16,1,0,0,1,4,,1,6,0,1,0,0,0,0,0,0,0,2,0
McLaren,10,16,0,,0,0,0,,0,4,0,3,0,0,0,2,2,0,2,0,3
