Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Mark Webber,3,Sebastian Vettel,2
Ferrari,2,6,Felipe Massa,5,Fernando Alonso,1
Mercedes,3,4,Michael Schumacher,9,Nico Rosberg,6
Renault,4,3,Vitaly Petrov,12,Nick Heidfeld,8
Williams,5,2,Pastor Maldonado,14,Rubens Barrichello,13
Force India,6,1,Paul di Resta,15,Adrian Sutil,11
Virgin,7,0,Jérôme d'Ambrosio,17,Timo Glock,16
HRT,8,0,Daniel Ricciardo,19,Vitantonio Liuzzi,18
McLaren,9,0,,,Lewis Hamilton,4
Sauber,10,0,,,Sergio Pérez,7
Toro Rosso,11,0,,,Jaime Alguersuari,10
