Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Lewis Hamilton,4,Jenson Button,2
Ferrari,2,6,Felipe Massa,6,Fernando Alonso,3
Toro Rosso,3,4,Sébastien Buemi,10,Jaime Alguersuari,7
Williams,4,3,Rubens Barrichello,12,Pastor Maldonado,11
Lotus Racing,5,2,Jarno Trulli,14,Heikki Kovalainen,13
Red Bull,6,1,,,Sebastian Vettel,1
Mercedes,7,0,,,Michael Schumacher,5
Force India,8,0,,,Paul di Resta,8
Renault,9,0,,,Bruno Senna,9
Virgin,10,0,,,Timo Glock,15
