Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Mark Webber,4,Sebastian Vettel,3
McLaren,2,6,Lewis Hamilton,5,Jenson Button,1
Ferrari,3,4,Felipe Massa,7,Fernando Alonso,2
Mercedes,4,3,Nico Rosberg,10,Michael Schumacher,6
Force India,5,2,Paul di Resta,12,Adrian Sutil,11
Sauber,6,1,Kamui Kobayashi,13,Sergio Pérez,8
Renault,7,0,Bruno Senna,16,Vitaly Petrov,9
Williams,8,0,Rubens Barrichello,17,Pastor Maldonado,14
Lotus Racing,9,0,Jarno Trulli,19,Heikki Kovalainen,18
Virgin,10,0,Jérôme d'Ambrosio,21,Timo Glock,20
HRT,11,0,Vitantonio Liuzzi,23,Daniel Ricciardo,22
Toro Rosso,12,0,,,Jaime Alguersuari,15
