Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Mark Webber,2,Sebastian Vettel,1
Mercedes,2,6,Nico Rosberg,6,Michael Schumacher,5
Ferrari,3,4,Felipe Massa,8,Fernando Alonso,4
Force India,4,3,Paul di Resta,11,Adrian Sutil,7
Renault,5,2,Bruno Senna,13,Vitaly Petrov,9
Lotus Racing,6,1,Heikki Kovalainen,15,Jarno Trulli,14
Williams,7,0,Rubens Barrichello,16,Pastor Maldonado,10
Virgin,8,0,Timo Glock,18,Jérôme d'Ambrosio,17
McLaren,9,0,,,Jenson Button,3
Sauber,10,0,,,Kamui Kobayashi,12
HRT,11,0,,,Vitantonio Liuzzi,19
