Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Sebastian Vettel,4,Mark Webber,3
Ferrari,2,6,Felipe Massa,5,Fernando Alonso,2
Mercedes,3,4,Michael Schumacher,8,Nico Rosberg,7
Sauber,4,3,Sergio Pérez,11,Kamui Kobayashi,9
Force India,5,2,Paul di Resta,13,Adrian Sutil,6
Toro Rosso,6,1,Sébastien Buemi,15,Jaime Alguersuari,12
Virgin,7,0,Jérôme d'Ambrosio,18,Timo Glock,17
Lotus Racing,8,0,Karun Chandhok,20,Heikki Kovalainen,16
McLaren,9,0,,,Lewis Hamilton,1
Renault,10,0,,,Vitaly Petrov,10
Williams,11,0,,,Pastor Maldonado,14
HRT,12,0,,,Daniel Ricciardo,19
