Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Mark Webber,3,Sebastian Vettel,2
McLaren,2,6,Jenson Button,4,Lewis Hamilton,1
Ferrari,3,4,Fernando Alonso,7,Felipe Massa,6
Mercedes,4,3,Michael Schumacher,8,Nico Rosberg,5
Renault,5,2,Nick Heidfeld,12,Vitaly Petrov,9
Force India,6,1,Adrian Sutil,15,Paul di Resta,11
Sauber,7,0,Sergio Pérez,17,Kamui Kobayashi,10
Williams,8,0,Pastor Maldonado,18,Rubens Barrichello,13
Lotus Racing,9,0,Jarno Trulli,19,Heikki Kovalainen,16
Virgin,10,0,Timo Glock,21,Jérôme d'Ambrosio,20
HRT,11,0,Narain Karthikeyan,23,Vitantonio Liuzzi,22
Toro Rosso,12,0,,,Sébastien Buemi,14
