Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Jenson Button,3,Lewis Hamilton,2
Red Bull,2,6,Mark Webber,4,Sebastian Vettel,1
Mercedes,3,4,Nico Rosberg,7,Michael Schumacher,6
Sauber,4,3,Kamui Kobayashi,10,Sergio Pérez,9
Renault,5,2,Vitaly Petrov,11,Nick Heidfeld,8
Force India,6,1,Adrian Sutil,13,Paul di Resta,12
Toro Rosso,7,0,Jaime Alguersuari,16,Sébastien Buemi,14
Williams,8,0,Rubens Barrichello,17,Pastor Maldonado,15
Virgin,9,0,Jérôme d'Ambrosio,20,Timo Glock,19
Ferrari,10,0,,,Fernando Alonso,5
Lotus Racing,11,0,,,Jarno Trulli,18
HRT,12,0,,,Narain Karthikeyan,21
