Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Mark Webber,3,Sebastian Vettel,2
Toro Rosso,2,6,Sébastien Buemi,10,Jaime Alguersuari,8
Mercedes,3,4,Nico Rosberg,11,Michael Schumacher,4
Sauber,4,3,Pedro de la Rosa,12,Kamui Kobayashi,7
Virgin,5,2,Timo Glock,15,Jérôme d'Ambrosio,14
HRT,6,1,Narain Karthikeyan,17,Vitantonio Liuzzi,13
McLaren,7,0,,,Jenson Button,1
Renault,8,0,,,Vitaly Petrov,5
Ferrari,9,0,,,Felipe Massa,6
Williams,10,0,,,Rubens Barrichello,9
Lotus Racing,11,0,,,Jarno Trulli,16
Force India,12,0,,,Paul di Resta,18
