Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
McLaren,1,9,Lewis Hamilton,4,Jenson Button,1
Red Bull,2,6,Mark Webber,5,Sebastian Vettel,2
Ferrari,3,4,Felipe Massa,6,Fernando Alonso,3
Toro Rosso,4,3,Jaime Alguersuari,10,Sébastien Buemi,8
Force India,5,2,Adrian Sutil,14,Paul di Resta,7
Sauber,6,1,Sergio Pérez,15,Kamui Kobayashi,11
Williams,7,0,Pastor Maldonado,16,Rubens Barrichello,13
Virgin,8,0,Jérôme d'Ambrosio,19,Timo Glock,17
HRT,9,0,Vitantonio Liuzzi,20,Daniel Ricciardo,18
Mercedes,10,0,,,Nico Rosberg,9
Renault,11,0,,,Vitaly Petrov,12
