Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Mark Webber,3,Sebastian Vettel,1
McLaren,2,6,Lewis Hamilton,5,Jenson Button,2
Force India,3,4,Adrian Sutil,8,Paul di Resta,6
Ferrari,4,3,Felipe Massa,9,Fernando Alonso,4
Williams,5,2,Rubens Barrichello,13,Pastor Maldonado,11
Sauber,6,1,Kamui Kobayashi,14,Sergio Pérez,10
Renault,7,0,Vitaly Petrov,17,Bruno Senna,15
HRT,8,0,Vitantonio Liuzzi,20,Daniel Ricciardo,19
Toro Rosso,9,0,Jaime Alguersuari,21,Sébastien Buemi,12
Mercedes,10,0,,,Nico Rosberg,7
Lotus Racing,11,0,,,Heikki Kovalainen,16
Virgin,12,0,,,Jérôme d'Ambrosio,18
