Pilote,Rang,Points,AUSR,BAHR,BELR,BRAR,CANR,CHIR,EURR,FRAR,GERR,GRER,HUNR,ITAR,JAPR,MALR,MONR,SANR,SPAR,UNIR
Michael Schumacher,1,321,25,25,18,4,8,0,25,18,25,12,25,15,25,25,10,18,25,18
Rubens Barrichello,2,240,18,18,8,25,6,25,6,1,4,18,18,25,0,15,6,12,10,25
Jenson Button,3,205,12,8,0,10,18,15,10,12,15,15,12,8,10,8,15,25,0,12
Juan Pablo Montoya,4,174,15,15,0,18,12,0,4,8,18,4,6,18,0,12,1,15,18,10
Jarno Trulli,5,145,2,6,25,1,15,,15,10,6,10,2,2,8,4,25,2,12,0
Fernando Alonso,6,142,10,0,15,2,10,8,8,25,8,8,10,12,0,0,12,8,4,2
Takuma Sato,7,131,6,10,0,8,0,2,18,6,2,2,15,10,12,0,4,6,15,15
Ralf Schumacher,8,127,4,12,,6,25,10,2,,,,,,18,6,18,10,8,8
Kimi Räikkönen,9,121,1,0,1,15,4,18,12,2,12,25,1,6,0,10,8,0,0,6
David Coulthard,10,57,0,1,12,0,2,1,0,15,10,6,0,1,4,2,2,0,1,0
Mark Webber,11,55,8,0,6,0,0,0,0,0,0,1,0,0,15,18,0,4,2,1
Felipe Massa,12,28,0,0,4,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0
Giancarlo Fisichella,13,26,0,0,10,0,0,6,0,0,0,0,4,0,6,0,0,0,0,0
Olivier Panis,14,23,0,4,2,,0,4,1,0,1,0,0,0,1,0,0,0,6,4
Antônio Pizzonia,15,12,,,0,,,,,,0,,8,4,,,,,,
Cristiano da Matta,16,4,0,2,,,0,,0,0,0,0,,,,1,0,1,0,0
Marc Gené,17,4,,,,,,,,4,,0,,,,,,,,
Jacques Villeneuve,18,2,,,,0,,0,,,,,,,2,,,,,
Christian Klien,19,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Heidfeld,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Giorgio Pantano,21,0,0,0,0,,,,0,0,0,0,0,0,,0,0,0,0,0
Zsolt Baumgartner,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gianmaria Bruni,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Timo Glock,24,0,,,,0,0,0,,,,,,,0,,,,,
Ricardo Zonta,25,0,,,0,0,,0,,,,,0,0,,,,,,
