Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Mark Webber,4,Sebastian Vettel,1
Mercedes,2,6,Nico Rosberg,5,Lewis Hamilton,3
Ferrari,3,4,Felipe Massa,8,Fernando Alonso,2
Force India,4,3,Adrian Sutil,10,Paul di Resta,7
McLaren,5,2,Jenson Button,12,Sergio Pérez,11
Lotus,6,1,Romain Grosjean,13,Kimi Räikkönen,9
Toro Rosso,7,0,Daniel Ricciardo,15,Jean-Éric Vergne,6
Williams,8,0,Pastor Maldonado,16,Valtteri Bottas,14
Marussia,9,0,Max Chilton,19,Jules Bianchi,17
Caterham,10,0,,,Charles Pic,18
Sauber,11,0,,,Esteban Gutiérrez,20
