Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Nico Rosberg,4,Lewis Hamilton,3
Red Bull,2,6,Mark Webber,5,Sebastian Vettel,1
Ferrari,3,4,Felipe Massa,7,Fernando Alonso,2
McLaren,4,3,Sergio Pérez,11,Jenson Button,6
Toro Rosso,5,2,Jean-Éric Vergne,12,Daniel Ricciardo,10
Sauber,6,1,Esteban Gutiérrez,14,Nico Hülkenberg,13
Williams,7,0,Pastor Maldonado,17,Valtteri Bottas,15
Marussia,8,0,Max Chilton,19,Jules Bianchi,18
Lotus,9,0,,,Romain Grosjean,8
Force India,10,0,,,Adrian Sutil,9
Caterham,11,0,,,Giedo van der Garde,16
