Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Felipe Massa,6,Fernando Alonso,1
Lotus,2,6,Romain Grosjean,9,Kimi Räikkönen,2
McLaren,3,4,Sergio Pérez,11,Jenson Button,5
Toro Rosso,4,3,Jean-Éric Vergne,12,Daniel Ricciardo,7
Williams,5,2,Pastor Maldonado,14,Valtteri Bottas,13
Marussia,6,1,Max Chilton,17,Jules Bianchi,15
Caterham,7,0,Giedo van der Garde,18,Charles Pic,16
Mercedes,8,0,,,Lewis Hamilton,3
Red Bull,9,0,,,Sebastian Vettel,4
Force India,10,0,,,Paul di Resta,8
Sauber,11,0,,,Nico Hülkenberg,10
