Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Mark Webber,2,Sebastian Vettel,1
Mercedes,2,6,Lewis Hamilton,7,Nico Rosberg,3
Ferrari,3,4,Felipe Massa,8,Fernando Alonso,5
Force India,4,3,Adrian Sutil,10,Paul di Resta,6
McLaren,5,2,Jenson Button,12,Sergio Pérez,9
Sauber,6,1,Nico Hülkenberg,14,Esteban Gutiérrez,13
Williams,7,0,Valtteri Bottas,15,Pastor Maldonado,11
Toro Rosso,8,0,Jean-Éric Vergne,17,Daniel Ricciardo,16
Caterham,9,0,Charles Pic,19,Giedo van der Garde,18
Marussia,10,0,Max Chilton,21,Jules Bianchi,20
Lotus,11,0,,,Romain Grosjean,4
