Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Mark Webber,2,Sebastian Vettel,1
Mercedes,2,6,Nico Rosberg,4,Lewis Hamilton,3
Lotus,3,4,Kimi Räikkönen,7,Romain Grosjean,6
Sauber,4,3,Esteban Gutiérrez,12,Nico Hülkenberg,8
Caterham,5,2,Giedo van der Garde,15,Charles Pic,14
Marussia,6,1,Max Chilton,16,Jules Bianchi,13
McLaren,7,0,Jenson Button,17,Sergio Pérez,9
Toro Rosso,8,0,Daniel Ricciardo,18,Jean-Éric Vergne,10
Ferrari,9,0,,,Felipe Massa,5
Williams,10,0,,,Valtteri Bottas,11
