Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Mark Webber,2,Sebastian Vettel,1
Lotus,2,6,Kimi Räikkönen,5,Romain Grosjean,3
Sauber,3,4,Esteban Gutiérrez,7,Nico Hülkenberg,6
Ferrari,4,3,Felipe Massa,10,Fernando Alonso,4
Toro Rosso,5,2,Daniel Ricciardo,13,Jean-Éric Vergne,12
Force India,6,1,Adrian Sutil,14,Paul di Resta,11
McLaren,7,0,Sergio Pérez,15,Jenson Button,9
Williams,8,0,Valtteri Bottas,17,Pastor Maldonado,16
Mercedes,9,0,,,Nico Rosberg,8
Caterham,10,0,,,Charles Pic,18
Marussia,11,0,,,Max Chilton,19
