Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Lewis Hamilton,5,Nico Rosberg,4
Ferrari,2,6,Felipe Massa,6,Fernando Alonso,2
McLaren,3,4,Sergio Pérez,8,Jenson Button,7
Sauber,4,3,Esteban Gutiérrez,12,Nico Hülkenberg,9
Williams,5,2,Valtteri Bottas,13,Pastor Maldonado,11
Red Bull,6,1,Mark Webber,15,Sebastian Vettel,1
Marussia,7,0,Jules Bianchi,18,Max Chilton,17
Caterham,8,0,Charles Pic,19,Giedo van der Garde,16
Force India,9,0,Paul di Resta,20,Adrian Sutil,10
Lotus,10,0,,,Kimi Räikkönen,3
Toro Rosso,11,0,,,Jean-Éric Vergne,14
