Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Felipe Massa,3,Fernando Alonso,1
Red Bull,2,6,Mark Webber,5,Sebastian Vettel,4
McLaren,3,4,Sergio Pérez,9,Jenson Button,8
Mercedes,4,3,Lewis Hamilton,12,Nico Rosberg,6
Force India,5,2,Adrian Sutil,13,Paul di Resta,7
Sauber,6,1,Nico Hülkenberg,15,Esteban Gutiérrez,11
Williams,7,0,Valtteri Bottas,16,Pastor Maldonado,14
Marussia,8,0,Max Chilton,19,Jules Bianchi,18
Lotus,9,0,,,Kimi Räikkönen,2
Toro Rosso,10,0,,,Daniel Ricciardo,10
Caterham,11,0,,,Charles Pic,17
