Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Mark Webber,3,Sebastian Vettel,1
Mercedes,2,6,Nico Rosberg,9,Lewis Hamilton,4
McLaren,3,4,Jenson Button,10,Sergio Pérez,7
Ferrari,4,3,Felipe Massa,12,Fernando Alonso,5
Sauber,5,2,Esteban Gutiérrez,13,Nico Hülkenberg,6
Lotus,6,1,Heikki Kovalainen,14,Romain Grosjean,2
Toro Rosso,7,0,Jean-Éric Vergne,16,Daniel Ricciardo,11
Williams,8,0,Pastor Maldonado,17,Valtteri Bottas,8
Caterham,9,0,Charles Pic,20,Giedo van der Garde,19
Marussia,10,0,Max Chilton,21,Jules Bianchi,18
Force India,11,0,,,Paul di Resta,15
