Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Mark Webber,4,Sebastian Vettel,3
Lotus,2,6,Romain Grosjean,6,Kimi Räikkönen,2
Ferrari,3,4,Felipe Massa,8,Fernando Alonso,5
McLaren,4,3,Sergio Pérez,9,Jenson Button,7
Toro Rosso,5,2,Daniel Ricciardo,13,Jean-Éric Vergne,12
Caterham,6,1,Charles Pic,15,Giedo van der Garde,14
Marussia,7,0,Max Chilton,17,Jules Bianchi,16
Mercedes,8,0,Nico Rosberg,19,Lewis Hamilton,1
Williams,9,0,,,Pastor Maldonado,10
Sauber,10,0,,,Nico Hülkenberg,11
Force India,11,0,,,Paul di Resta,18
