Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Felipe Massa,4,Fernando Alonso,2
Red Bull,2,6,Mark Webber,6,Sebastian Vettel,3
Force India,3,4,Paul di Resta,8,Adrian Sutil,7
Lotus,4,3,Romain Grosjean,10,Kimi Räikkönen,1
McLaren,5,2,Sergio Pérez,11,Jenson Button,9
Marussia,6,1,Max Chilton,17,Jules Bianchi,15
Caterham,7,0,Giedo van der Garde,18,Charles Pic,16
Mercedes,8,0,,,Lewis Hamilton,5
Toro Rosso,9,0,,,Jean-Éric Vergne,12
Sauber,10,0,,,Esteban Gutiérrez,13
Williams,11,0,,,Valtteri Bottas,14
