Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Red Bull,1,9,Mark Webber,3,Sebastian Vettel,2
Mercedes,2,6,Lewis Hamilton,4,Nico Rosberg,1
Force India,3,4,Paul di Resta,9,Adrian Sutil,5
Sauber,4,3,Esteban Gutiérrez,13,Nico Hülkenberg,11
McLaren,5,2,Sergio Pérez,16,Jenson Button,6
Ferrari,6,1,,,Fernando Alonso,7
Toro Rosso,7,0,,,Jean-Éric Vergne,8
Lotus,8,0,,,Kimi Räikkönen,10
Williams,9,0,,,Valtteri Bottas,12
Marussia,10,0,,,Max Chilton,14
Caterham,11,0,,,Giedo van der Garde,15
