Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Mercedes,1,9,Lewis Hamilton,4,Nico Rosberg,1
Ferrari,2,6,Felipe Massa,6,Fernando Alonso,3
Force India,3,4,Paul di Resta,9,Adrian Sutil,7
Williams,4,3,Valtteri Bottas,12,Pastor Maldonado,11
Sauber,5,2,Esteban Gutiérrez,14,Nico Hülkenberg,10
Marussia,6,1,Max Chilton,17,Jules Bianchi,16
Caterham,7,0,Giedo van der Garde,18,Charles Pic,15
Lotus,8,0,Romain Grosjean,19,Kimi Räikkönen,5
McLaren,9,0,Sergio Pérez,20,Jenson Button,13
Red Bull,10,0,,,Mark Webber,2
Toro Rosso,11,0,,,Daniel Ricciardo,8
