Équipe,Rang,Points,Deuxième Pilote,Position du Deuxième Pilote,Premier Pilote,Position du Premier Pilote
Ferrari,1,9,Nigel Mansell,2,Alain Prost,1
Benetton,2,6,Nelson Piquet,6,Alessandro Nannini,4
Williams,3,4,Riccardo Patrese,9,Thierry Boutsen,5
Lotus,4,3,Derek Warwick,10,Martin Donnelly,8
Minardi,5,2,Paolo Barilla,14,Pierluigi Martini,12
Ligier,6,1,Philippe Alliot,18,Nicola Larini,16
McLaren,7,0,Ayrton Senna,20,Gerhard Berger,3
Tyrrell,8,0,,,Jean Alesi,7
Brabham,9,0,,,Stefano Modena,11
Dallara,10,0,,,Andrea de Cesaris,13
Onyx,11,0,,,Gregor Foitek,15
Arrows,12,0,,,Michele Alboreto,17
Osella,13,0,,,Olivier Grouillard,19
